影	picture/image/reflection/shadow	yǐng
偷	to steal/to pilfer	tōu
羊	(surname)/sheep	yáng
蛋	egg/oval shaped	dàn
荒	out of practice/uncultivated	huāng
键	(door lock) key	jiàn
炎	flame/inflammation/-itis	yán
割	cut off	gē
皆	all/each and every/in all cases	jiē
综	to sum up	zōng
厉	severe	lì
孤	lone/lonely	gū
孟	first month/eldest brother/(surname)	mèng
辛	8th heavenly stem/tired	xīn
碰	to touch/to meet with/to bump	pèng
叙	narrate/abbreviation for Syria	xù
碍	to hinder/to obstruct/to block	ài
惨	miserable/wretched/cruel/inhuman/seriously/badly/tragic	cǎn
咬	bite/nip	yǎo
倍	(two, three, etc) -fold/times (multiplier)/double/to increase or multiply	bèi
墨	China ink/ink stick	mò
扰	disturb	rǎo
慌	nervous	huāng
兽	beast/quadruped	shòu
凝	congeal/concentrate attention	níng
鼻	nose	bí
殖	grow/reproduce	zhí
慰	reassure	wèi
糊	muddled/paste/scorched, paste/cream	hú/hù
润	smooth/moist	rùn
丧	mourning/funeral, lose (by death)	sāng/sàng
册	book/a measure word for books/booklet	cè
韦	(surname)/soft leather	wéi
弯	bend/bent	wān
戒	swear off/warn against	jiè
污	see 污, dirt/filth	wū
潮	tide/current/damp/moist/humid	cháo
绪	beginnings/clues/mental state/thread	xù
洁	clean	jié
箭	arrow	jiàn
横	horizontal/across/(horizontal character stroke), unruly	héng/hèng
幻	fantasy	huàn
盾	shield	dùn
诊	examine or treat medically	zhěn
映	reflect/shine	yìng
氏	clan name/maiden name	shì
御	defend/imperial/to drive, defend/resist	yù
箱	box/trunk/chest	xiāng
赖	disclaim/rely/to blame	lài
届	arrive at (place or time)/period/to become due/measure words for events (e.g., meetings, elections)	jiè
寒	cold/poor/to tremble	hán
券	deed/bond/contract/ticket	quàn
埋	bury, to blame	mái/mán
崇	high/dignified/lofty/to honor	chóng
曹	a company/a class/a generation/(a surname)	cáo
抬	to lift/to raise/(of two or more persons) to carry	tái
晓	dawn/to know/to tell (sb sth)/dawn	xiǎo
挺	be straight and stiff/rather (good)	tǐng
袋	a pouch/bag/sack/pocket	dài
剂	dose	jì
瞧	look at	qiáo
裂	crack/split	liè
澳	Australia/deep bay/cove/bay/harbor/(abbrev) Macao	ào
邓	Deng (Xiaoping)	dèng
晋	name of a dynasty	jìn
泛	broad/vast/float/pan-, float/general/vague	fàn
扑	to rush at/to throw oneself on, rush on	pū
聪	quick at hearing/wise/clever/sharp-witted/intelligent/acute	cōng
彭	(surname)	péng
泉	fountain/spring	quán
尸	corpse	shī
耐	to be unbearable/unable to endure	nài
餐	eat/meal	cān
锋	point or edge of a tool	fēng
宜	proper/should/suitable/appropriate	yí
奴	slave	nú
叹	to sigh	tàn
娜	elegant/graceful	nuó/nà
巡	to patrol/to make one's rounds	xún
柔	soft	róu
赏	enjoy the beauty of/give	shǎng
搜	to search	sōu
桥	bridge	qiáo
跌	to drop/to fall/to tumble	diē
幅	(measure word for textile or picture)/width/roll	fú
堡	an earthwork/castle/position of defense/stronghold, character used in place names	bǎo/pù
貌	appearance	mào
伍	associate with/five/company	wǔ
阁	council-chamber/shelf	gé
暂	temporarily	zàn
隔	to separate/to stand or lie between/to divide/to cut off	gé
奏	present a memorial	zòu
滚	to boil/to roll	gǔn
陪	to accompany/to keep sb. company	péi
凶	fierce, fierce/terrible/ominous	xiōng
堆	a pile/a mass/heap/stack	duī
乏	short of/tired	fá
肃	Gansu/respectful	sù
累	cumbersome, accumulate, implicate/tired	léi/lěi/lèi
剩	have as remainder	shèng
兼	double/twice/simultaneous/holding two or more (official) posts at the same time	jiān
媒	medium/intermediary/matchmaker/go-between	méi
瑞	lucky/auspicious/propitious/rayl (acoustical unit)	ruì
辖	have jurisdiction over	xiá
呆	foolish/stupid/no expression/stay, stay/stupid	dāi
俩	(a numeral-measure word) two/both, craft/cunning	liǎ/liǎng
董	(surname)/supervise/to direct/director	dǒng
忆	remember	yì
汗	perspiration/sweat	hàn
嘛	(a modal particle)	ma
叔	uncle in direct address	shū
邻	neighbor/adjacent/close to	lín
狱	prison	yù
焦	burnt/scorched/worried/anxious	jiāo
筹	a tally/counter/ticket/plan/devise/manage	chóu
仔	duty/responsibility, minutely/young	zī/zǐ/zǎi
舍	give up/abandon, residence	shě/shè
幕	stage curtain/tent	mù
菲	rich/luxurious/phenanthrene (chemical)/Philippines	fēi
荡	a pond/pool/wash/squander/sweep away/move/shake/dissolute	dàng
仁	humane	rén
壮	to strengthen/strong/robust	zhuàng
翼	wing	yì
恋	feel attached to/long for/love	liàn
踪	footprint/trace/tracks	zōng
罢	to stop/cease/dismiss/suspend/to quit/to finish, (final part.)	bà/ba
稍	somewhat/a little	shāo
佩	to respect/wear (belt, etc.), girdle ornaments	pèi
趋	to hasten/to hurry/walk fast	qū
钢	steel	gāng
辞	bid farewell/diction/resign/say goodbye/take leave/decline	cí
悟	comprehend	wù
竹	bamboo	zhú
龄	age	líng
颗	(measure word for small spheres)	kē
誉	reputation	yù
峰	peak/summit	fēng
昨	yesterday	zuó
沟	ditch/gutter	gōu
婆	grandmother/matron/mother-in-law	pó
汤	(surname)/soup	tāng
鞋	shoe	xié
允	just/fair/to permit/to allow	yǔn
珠	bead/pearl	zhū
伴	a partner/companion or associate/to accompany/comrade	bàn
询	inquire	xún
驱	to expel/to urge on/to drive/to run quickly	qū
乔	tall	qiáo
租	rent/taxes	zū
燃	burn/combustion	rán
酸	sour/sore/ache/acid	suān
宾	visitor/guest	bīn
械	tools	xiè
伪	false/fake/forged/bogus	wěi
桑	mulberry tree	sāng
码	a weight/number/yard/pile/stack	mǎ
辑	gather up/collect/edit/compile	jí
掩	cover up/to surprise	yǎn
猜	to guess	cāi
吾	I/my	wú
昏	muddle-headed/twilight/to faint/to lose consciousness	hūn
愤	indignant/anger/resentment	fèn
驶	hasten/proceed to/sail a vessel	shǐ
贡	tribute/gifts	gòng
爬	crawl/climb	pá
辉	bright/glorious	huī
截	a section/cut off (a length)	jié
挑	carry on a pole/choose, incite	tiāo/tiǎo
梁	(surname)/beam of roof/bridge, beam of roof	liáng
铺	to spread, a store, a bed/a store	pū/pù
脏	dirty/filthy, viscera	zāng/zàng
邮	post (office)/mail	yóu
吓	to frighten/to scare/to intimidate/to threaten	xià
饮	drink	yǐn
胸	chest/bosom/heart/mind/thorax	xiōng
寄	lodge at/to mail/to send/to entrust/to depend	jì
肥	loose-fitting/fat/fertile	féi
逻	logic/patrol	luó
扫	to sweep, broom	sǎo/sào
漫	free/unrestrained/inundate	màn
尝	indicator of past tense/to taste/flavor/already/ever/once/test/already/formerly, to taste	cháng
拔	pull up/pull out/select/promote	bá
遵	to observe/to obey/to follow	zūn
撞	to hit/to strike/to meet by accident/to run into/to bump against/to bump into	zhuàng
疯	insane/mad/wild	fēng
怜	to pity	lián
粉	dust/powder	fěn
辆	(a measure word for vehicles)	liàng
邦	a state/country or nation	bāng
灰	gray/ash	huī
敏	keen	mǐn
飘	to float	piāo
狗	dog	gǒu
牵	lead along	qiān
虫	insect/worm, an animal/an invertebrate/a worm/an insect	chóng
腿	leg	tuǐ
旦	dawn/morning/day-break/day	dàn
零	remnant/zero	líng
昌	prosperous/flourish	chāng
腾	to soar/to gallop/to rise/to prance/to hover/to move out	téng
魂	soul	hún
番	(measure word for acts)/deeds/foreign, (surname)/place name	fān/pān
穆	(surname)/solemn	mù
勃	flourishing/prosperous/suddenly/abruptly	bó
捕	to catch/to seize/to capture/to catch	bǔ
频	frequency/frequently/repetitious	pín
薄	mean/slight/thin, thin/slight/meagre/small/ungenerous/unkind/mean/frivolous/despise/belittle/to approach/to go near/peppermint	bó/bò/báo
净	clean, clean/completely/only	jìng
恨	to hate	hèn
猫	cat/pussy	māo
径	path	jìng
启	to open/to start	qǐ
泰	safe/peaceful/most/Thai(land)/grand	tài
芳	fragrant	fāng
饰	adorn/ornaments	shì
紫	purple	zǐ
霍	(surname)/cholera	huò
践	fulfill (a promise)/tread/walk	jiàn
挤	crowded/to squeeze	jǐ
辩	dispute/debate/argue/discuss	biàn
凤	phoenix	fèng
粮	provisions	liáng
插	insert/stick in/pierce/to take part in/to interfere/to interpose	chā
迪	direct/follow	dí
冬	winter	dōng
漂	to float/to drift, to bleach, elegant/polished	piāo/piǎo/piào
渡	to cross/to pass through/to ferry	dù
缩	to withdraw/to pull back/to contract/to shrink/to reduce	suō
宪	statute/constitution	xiàn
丛	cluster/collection/collection of books/thicket	cóng
洪	flood	hóng
凉	cool/cold	liáng
晨	morning/dawn/daybreak	chén
匆	hurried/hasty	cōng
迁	to move/to shift	qiān
惜	pity, regret, rue, begrudge	xī
垂	to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach	chuí
籍	(surname)/record/register/native place	jí
骗	to cheat/to swindle/to deceive/to fool	piàn
劲	strength, stalwart/sturdy	jìn/jìng
帕	handkerchief	pà
扎	to tie/to bind, tie with string or ribbon/bind with rope or cord/to stop, to prick/to run or stick (a needle, etc.) into, penetrating (as of cold)/struggle	zā/zhā/zhá
恰	exactly/just	qià
贫	poor	pín
颜	(surname)/color/countenance	yán
忧	worried	yōu
椅	chair	yǐ
祝	invoke/pray to/wish/to express good wishes	zhù
奈	how can one help	nài
欣	happy	xīn
抢	against wind, fight over/to rush/to scramble/to grab/to rob/to snatch	qiāng/qiǎng
艾	(surname)/Artemisia vulgaris/Chinese mugwort	ài
孔	(surname)/hole	kǒng
津	Tianjin/ferry	jīn
坡	slope	pō
赤	red/scarlet/bare/naked	chì
偿	to compensate/pay back/to recompense	cháng
繁	complicated/many/in great numbers	fán
绩	merit/accomplishment	jī/jì
灾	disaster/calamity	zāi
腐	decay/rotten	fǔ
仇	hatred/animosity/enmity/a rival/an enemy/feud, (surname)/match/mate	chóu/qiú
隆	sound of drums, grand/intense/prosperous/start (a fire)	lōng/lóng
拖	dragging (brush stroke in painting)/to drag along	tuō
脉	mountain range/pulse	mài
旋	revolve, lathe/specially for an occasion	xuán/xuàn
骑	to ride (an animal or bike)/to sit astride	qí
穷	exhausted/poor	qióng
厌	loathe	yàn
舒	(surname)/relax	shū
闹	make noise or disturbance	nào
沈	sink, (surname)/place name	chén/shěn
悄	quiet/sad	qiǎo/qiāo
杯	cup/a measure word	bēi
废	abolish/crippled	fèi
殿	palace hall	diàn
揭	lift off (a cover)/divulge	jiē
邪	demonical/iniquitous/nefarious	xié
躺	to recline/to lie down	tǎng
署	office/bureau	shǔ
尺	a Chinese foot (M)/one-third of a meter/a ruler/a note musical note on traditional Chinese scale	chǐ
盗	steal/rob/plunder/a thief/bandit/robber	dào
壁	wall/rampart	bì
慧	intelligent	huì
勤	diligent/frequent	qín
贯	pierce/to string	guàn
碎	to break down/to break into pieces/fragmentary	suì
鸡	fowl/chicken	jī
豪	grand/heroic	háo
驻	resident in/stationed in/located at/to station (troops)	zhù
眉	eyebrow/upper margin	méi
储	savings/to save/to deposit/to store/(a surname)	chǔ
呈	to assume (a form)/to submit/to petition/to show/to present/to offer	chéng
忠	loyal	zhōng
荷	lotus, peppermint/to carry burden	hé/hè
胁	side of body/threaten	xié
浮	to float	fú
尾	tail	wěi
惠	favor/kind act (from above)	huì
柳	willow/Liu (a surname)	liǔ
黎	(surname)/black/abbreviation for Lebanon	lí
躲	avoid/get out of way/to hide/to go into hiding	duǒ
矿	ore/mine	kuàng
幼	young	yòu
撒	let go, to scatter	sā/sǎ
迟	late/delayed/slow	chí
胆	the gall/the nerve/courage/guts/gall bladder	dǎn
鸣	to cry (of birds)	míng
拟	plan to	nǐ
摸	feel with the hand/to touch/to stroke/to grope/to feel (one's pulse), imitate/copy	mō/mó
陶	pottery, (surname)/pleased/pottery	táo
贷	lend on interest/borrow/loan/make excuses/pardon/forgive	dài
幽	quiet/secluded	yōu
牲	domestic animal	shēng
绕	go around/to wind (around)	rào
辈	contemporaries/generation/lifetime	bèi
悉	in all cases/know	xī
肩	shoulder	jiān
逼	close to/compel, force/compel/drive/press for/extort/press on towards/press up to/close in on/close	bī
返	to return (to)	fǎn
稿	manuscript/draft/stalk of grain	gǎo
扶	to support with hand/to help sb. up/to help	fú
粗	coarse/rough/thick/unfinished/vulgar/rude/crude	cū
奔	to hurry or rush/to run quickly/to elope, go to/towards	bēn/bèn
惑	confuse	huò
艇	small boat	tǐng
偶	accidental/image/pair/mate	ǒu
锁	to lock up/to lock	suǒ
拒	to resist/to repel/to refuse	jù
朵	M for flowers	duǒ
惧	to fear	jù
徐	slow/gentle/Xu (a surname)	xú
俗	vulgar	sú
丹	red/pellet/powder/cinnabar	dān
蒂	stem (of fruit)	dì
跃	to jump/to leap	yuè
狠	fierce/very	hěn
宙	universe	zhòu
阔	rich/wide/broad	kuò
甘	(surname)/sweet	gān
液	liquid/fluid	yè
估	estimate, old/second-hand (clothes)	gū/gù
岩	cliff/rock, cliff	yán
滑	comical, comical/cunning/slippery/smooth	gǔ/huá
雾	fog/mist	wù
帐	account/mosquito net/tent/curtain/debt/credit	zhàng
贴	to stick/to paste/to keep close to/to fit snugly/subsidize/allowance	tiē
牧	shepherd	mù
闲	to stay idle/to be unoccupied/not busy/leisure/enclosure	xián
曰	to speak/to say	yuē
鉴	example/mirror/to view/reflection/to reflect/to inspect/to warn/(ancient bronze mirror)	jiàn
泥	mud/paste/pulp, restrained	ní/nì
吐	to spit, vomit	tǔ/tù
郎	(surname)/a youth	láng
柏	(surname)/cedar/cypress, cypress/cedar	bǎi/bò
枝	branch/(a measure word)	zhī
愈	heal/the more...the more/to recover/better, heal	yù
剥	peel/to skin	bō/bāo
铃	(small) bell	líng
悦	pleased	yuè
尿	urinate/urine	suī/niào
杆	pole, measure for guns, stick/pole	gān/gǎn
纲	head rope of a fishing net/guiding principle/key link/class (taxonomy)/outline/program	gāng
胖	fat/plump	pàng
愚	stupid	yú
鹿	deer	lù
忌	avoid as taboo/jealous	jì
溃	be dispersed/break down	kuì
勉	exhort	miǎn
腔	cavity of body/tune	qiāng
莉	jasmine	lì
萧	mournful	xiāo
咽	narrow pass/throat, to swallow, to choke (in crying)	yān/yàn/yè
嫌	to dislike/to suspect	xián
莲	lotus	lián
纠	gather together/to investigate/to entangle/correct	jiū
扮	to disguise oneself/to dress up/adorn	bàn
湿	moist/wet	shī
蓄	to store	xù
溜	slip away/to skate	liū
扇	to fan, (a measure word for doors, windows, etc.)	shān/shàn
涛	big wave	tāo
塑	to model (a figure) in clay	sù
茨	Tribulus terrestris/thatched hut	cí
昂	high/raise (head), high/soaring/raise/lift/expensive/to raise one's head	áng
颈	neck	jǐng
柯	(surname)/handle of axe/stem	kē
恼	get mad	nǎo
穴	hole/cave	xué
贤	worthy (person)	xián
姻	marriage connections	yīn
晃	dazzle, sway/to shade	huǎng/huàng
悬	hang/suspend	xuán
晶	crystal	jīng
膜	(n) membrane; film	mó
亏	deficiency/deficit	kuī
祸	disaster	huò
敲	extort/knock/to strike/to knock (at a door)/to hit	qiāo
坛	altar	tán
笼	basket/cage	lóng
柜	cupboard/cabinet/wardrobe, Salix multinervis	guì/jǔ
颤	to tremble/to shiver/to shake/to vibrate	zhàn/chàn
粹	pure/unmixed/essence	cuì
蛇	snake/serpent	shé
拾	pick up/ten (fraud-proof)	shí
削	to scrape, to reduce/to pare (away)/to cut (down)	xiāo/xuē
猩	ape	xīng
朴	Celtis sinensis var. japonica, Pak or Park (Korean surname)/plain and simple	pò/pǔ
沃	fertile/rich	wò
棵	M for plants	kē
唤	to call	huàn
吟	moan/to hum	yín
贺	congratulate	hè
冈	ridge/mound	gāng
捷	victory/triumph/quick/prompt/rapid	jié
呵	(phonetic particle), expel breath/my goodness	ā/hē
愉	pleased	yú
侯	marquis	hóu
慎	cautious	shèn
戈	(surname)/spear	gē
宅	residence	zhái
擦	to wipe/to erase/rubbing (brush stroke in painting)/to clean/to polish	cā
乾	dry, (surname)/male/strong/one of the Eight Trigrams	gān/qián
灌	irrigate/pour	guàn
寺	Buddhist temple	sì
狭	narrow/narrow-minded	xiá
玑	irregular pearl	jī
燕	(surname)/place name, swallow (a type of bird)	yān/yàn
掠	plunder	luè/luě
鸿	eastern bean goose/great/large	hóng
羽	feather	yǔ
癌	cancer, cancer (old pronuniation)/carcinoma	ái/yán
泊	to anchor/touch at/to moor	bó
壳	shell, shell	ké/qiào
抛	to throw/to toss/to fling/to cast/to abandon	pāo
仓	barn/granary/storehouse/cabin/hold (in ship)	cāng
盆	basin	pén
脆	crisp/brittle/clear and loud voice	cuì
纹	line/trace/mark	wén
聊	to chat/to have a chat/to kill time	liáo
摘	to borrow/to pick (flowers, fruit)/to pluck/to take/to select	zhāi
匠	craftsman	jiàng
琴	(mus. instr.)	qín
皱	to wrinkle/wrinkled/to crease	zhòu
锦	brocade/embroidered work/bright	jǐn
鹰	eagle/falcon/hawk	yīng
窝	nest	wō
挖	to dig/to excavate/to scoop out	wā
畏	to fear	wèi
吊	to hang a person, condole with/hang	diào
吞	to swallow/to take	tūn
潘	(surname)	pān
庞	(surname)/huge/enormous/tremendous	páng
迈	take a step	mài
诱	entice/tempt	yòu
翁	(surname)/elderly person	wēng
缴	hand in/hand over	jiǎo
耕	to plow/to till	gēng
抖	shake out/tremble	dǒu
逊	to yield	xùn
寸	a unit of length/inch/thumb	cùn
囊	sack	náng
盯	stare/gaze	dīng
岳	(surname)/mountain/wife's father, mountain	yuè
叛	to betray/to rebel/to revolt	pàn
尘	dust/dirt/earth	chén
侍	attend on	shì
契	contract	qì
驳	argue/parti-colored/tranship/dispute/contradict/refute, argue/parti-colored/tranship	bó
庙	temple/monastery	miào
裤	drawers/trousers/pants	kù
扔	throw	rēng
循	to follow/to adhere to/to abide by	xún
屏	get rid of/put aside/reject/keep control/hold back, (standing) screen	bǐng/píng
斥	blame/reprove/reprimand	chì
墓	tomb	mù
翰	pen	hàn
竭	exhaust	jié
唇	lip	chún
柱	pillar	zhù
疏	negligent/sparse/thin	shū
廉	incorrupt/inexpensive	lián
轨	course/path/track/rail	guǐ
酷	ruthless/strong (as of wine)/(slang loan from English) cool, great	kù
喷	to puff/to spout/to spray/to spurt, fragrant/sneeze	pēn/pèn
赔	lose in trade/pay damage	péi
亭	pavilion	tíng
嘉	excellent	jiā
浅	sound of moving water, shallow	jiān/qiǎn
锡	tin	xí/xī
吻	kiss/mouth	wěn
吵	to quarrel/to make a noise/noisy/to disturb by making a noise	chǎo
夹	clip/folder/hold between/to press from both sides/to place in between, hold between/lined/narrow lane	jiā/jiá
肝	liver	gān
锅	pot/pan/boiler	guō
欠	deficient/owe/to lack/yawn	qiàn
膀	upper arm/wing, to flirt, puffed (swollen), bladder	bǎng/bàng/pāng/páng
贾	merchant/to buy, (surname)	gǔ/jiǎ
痕	scar/traces	hén
耗	mouse/new/to waste/to spend/to consume/to squander	hào
卿	(old) minister/(old) term of endearment between spouses/thou (poet.)	qīng
霸	feudal chief/rule by force/tyrant/lord/master/hegemon/usurp	bà
诞	birth/birthday/brag/boast/to increase	dàn
赴	go towards/go to/attend (a banquet, etc.)/to go	fù
漠	desert/unconcerned	mò
肿	swollen	zhǒng
柴	(surname)/firewood	chái
牺	sacrifice	xī
盲	blind	máng
玄	black/mysterious	xuán
扭	to turn/to twist/to grab/to wring	niǔ
俘	prisoner of war	fú
饲	to raise/to rear/to feed	sì
惟	Err:508	wéi
肖	similar/resembling/to resemble/to be like	xiào/xiāo
邀	invite to come	yāo
妥	secure/sound	tuǒ
抑	to restrain/to restrict/to keep down/or	yì
矣	final part.	yǐ
趁	avail oneself of/take advantage of	chèn
磁	magnetic/magnetism/porcelain	cí
谨	cautious	jǐn
苗	(surname)/Miao tribe/sprout	miáo
敦	kind-hearted, kind-hearted/place name	dūn
舌	tongue	shé
劣	inferior	liè
怖	terror/terrified/afraid/frightened	bù
瓜	melon/claw/gourd/squash	guā
疫	epidemic/plague	yì
哼	hum, (interj. of contempt)	hēng/hng
誓	oath/vow/to swear/to pledge	shì
爹	dad	diē
隶	attached to/scribe	lì
炉	stove	lú
泡	puffed/swollen, to steep/soak/bubble(s)/foam	pāo/pào
滋	excite/nourish/this	zī
仲	2nd in seniority	zhòng
吨	ton, ton	dūn/dùn
甜	sweet	tián
哀	sorrow/grief/pity/to grieve for/to pity/to lament	āi
饿	to be hungry/hungry	è
煤	coal	méi
讼	litigation	sòng
婴	infant/baby	yīng
臂	arm	bì
俱	entirely/without exception, a social club	jū/jù
卢	(surname)	lú
烂	overcooked/rotten/soft	làn
宰	slaughter/butcher/govern/rule/official	zǎi
哩	(onomat.), mile, (part. for continued state)	lī/lǐ/li
肌	flesh/muscle	jī
辅	to assist/to complement/auxiliary	fǔ
催	urge/press/expedite/prompt/hurry	cuī
拦	cut off/hinder	lán
肠	intestines	cháng
帅	handsome/graceful/smart/commander in chief	shuài
欺	take unfair advantage of/to deceive/to cheat	qī
渴	thirsty	kě
铜	copper	tóng
斑	variegated	bān
仆	fall prostrate, servant	pū/pú
唉	an interjection/to express realization or agreement (yes, oh, right, etc), alas/oh dear	āi/ài
祭	offer sacrifice, (surname)	jì/zhài
桃	peach	táo
吕	(surname)	lǚ/lǚ
喉	throat/larynx	hóu
疲	weary	pí
铭	inscribed motto	míng
峡	gorge	xiá
霞	red clouds	xiá
妨	hinder/harm	fáng
姿	beauty/disposition/looks/appearance	zī
绳	rope	shéng
愁	worry about	chóu
恒	permanent	héng
宏	spacious	hóng
览	look over/to view	lǎn
贪	greedy	tān
睁	to open (eye)	zhēng
渔	fisherman/to fish	yú
瓶	bottle/(a measure word)/vase/pitcher	píng
辽	Liaoning/name of a dynasty	liáo
拳	fist	quán
贼	thief	zéi
豆	bean/peas, bean/sacrificial vessel	dòu
丑	2nd Earthly Branch/clown/Chou (surname), shameful/ugly/disgraceful	chǒu
驰	run fast/speed/spread/gallop	chí
薛	(surname)/wormwood	xuē
漏	funnel/to leak/to let out/to divulge	lòu
狼	wolf	láng
肤	skin	fū
弥	full/to fill, overflowing	mí
疼	(it) hurts/love fondly/ache/pain/sore	téng
猪	hog/pig/swine	zhū
棉	cotton	mián
璃	colored glaze/glass	lí
搬	remove/transport/move/shift	bān
冯		féng
卜	turnip, to divine/foretell	bo/bǔ
肚	tripe, belly	dǔ/dù
俊	smart/eminent/handsome/talented	jùn
昆	Kunlun mountains, descendant/elder brother	kūn
披	scatter/separate/to open/to unroll/to spread out	pī
伐	(v) cut down; fell/(v) dispatch an expedition against; descend upon	fá
赢	to beat/to win/to profit	yíng
赋	poetic essay/taxation/bestow on/endow with	fù
夕	evening, dusk	xī/xì
爵	nobility/(ancient wine holder with 3 legs and loop handle)	jué
熊	bear/to scold/to rebuke	xióng
斤	catty/weight equal to 0.5 kg	jīn
惩	punish/discipline	chéng
豫	beforehand/prepare	yù
浩	grand/vast (water)	hào
纤	boatman's tow-rope, fine/delicate/minute	qiàn/xiān
桂	Cinnamonum cassia	guì
肺	lung	fèi
茫	vague/vast	máng
辱	disgrace/insult	rǔ
枚	M for small objects	méi
押	detain in custody	yā
踏	step on	tà
赌	bet/gamble	dǔ
嗯	(a groaning sound)	ēn/ng/èn
孕	pregnant	yùn
筒	tube/cylinder	tǒng
盐	salt	yán
傲	proud/overbearing/insolent/arrogant	ào
妄	absurd/fantastic	wàng
郭	(surname)/outer city wall	guō
乙	"B" (in a sequence of examples involving "A", "B", "C", etc.)/2nd heavenly stem/2nd in order	yǐ
携	to carry/to take along/to bring along/to hold (hands)	xié
挨	lean to/in order/in sequence, next to/suffer (hunger)/endure/drag out/delay/stall/play for time	āi/ái
葬	bury (the dead)	zàng
娃	baby/doll	wá
氧	oxygen	yǎng
抹	play/to smear, girdle/brassiere/to plaster	mǒ/mò
歧	divergent/side road	qí
晴	clear/fine (weather)	qíng
暖	warm	nuǎn
儒	scholar/Confucian	rú
闷	smother/stuffy, melancholy	mēn/mèn
池	pond/reservoir	chí
鲍	abalone	bào
添	to add/to increase/to replenish	tiān
傅	(surname)/tutor	fù
堪	endure	kān
冠	hat/crown/crest/cap, to head	guān/guàn
哦	to chant, oh is that so	é/ó/ò
猎	hunting	liè
秒	(a measure word)/second	miǎo
盈	full/filled/surplus	yíng
袁	(surname)	yuán
遂	forthwith	suì/suí
帽	hat/cap	mào
挡	hinder/resist/obstruct/hinder/cover/keep off/a cover/to block/to get in the way of, arrange/put in order	dǎng/dàng
秩	order/orderliness	zhì
鹏	large fabulous bird	péng
匹	mate/one of a pair, (measure word for horses, mules, a bolt of cloth)/ordinary person	pī/pǐ
酬	entertain/repay/return/reward/compensate	chóu
雕	engrave, engrave/shrewd, golden eagle	diāo
芬	fragrant	fēn
慕	admire	mù
饱	to eat till full/satisfied	bǎo
袖	sleeve	xiù
翅	wing	chì
链	chain/lead or tin ore	liàn
栏	fence/railing/hurdle	lán
仗	battle	zhàng
玻	glass	bō
耀	brilliant/glorious	yào
艳	glamorous	yàn
咐	to order	fù
歇	to rest	xiē
刷	brush, to select	shuā/shuà
毅	perseverance	yì
屈	bent/feel wronged	qū
拼	piece together/stake (all)/spell/join together	pīn
玲	(used in compounds)/tinkling of gem-pendants	líng
孝	filial	xiào
嫁	marry (a husband)	jià
悔	regret	huǐ
葛	coarse grass linen, (surname)	gé/gě
顽	mischievous/obstinate/to play/stupid/stubborn/naughty	wán
畜	livestock/domesticated animal/domestic animal, to raise (animals)	chù/xù
卑	low/base/vulgar/inferior/humble	bēi
盒	small box/case	hé
宿	lodge for the night/old/former, (a) night, constellation	sù/xiǔ/xiù
苍	dark blue/fly/musca/deep green	cāng
浑	muddy	hún
衰	mourning garments, weak/feeble/decline/wane	cuī/shuāi
牢	firm/fast	láo
涨	to rise (of prices, rivers), to swell/distend	zhǎng/zhàng
拘	adhere/capture/restrain	jū
蛮	barbarian/bullying/very/quite/rough/reckless	mán
兹	herewith	zī
扯	pull/tear/to talk casually	chě
履	shoe/to tread on	lǚ/lǚ
恭	respectful	gōng
眠	sleep	mián
挣	struggle, to earn/to make (money)	zhēng/zhèng
赐	confer/bestow/grant	cì
窃	I beg to presume/steal	qiè
岂	how can it be that	qǐ
臭	stench/stink/smelly/to smell (bad), sense of smell/smell bad	chòu/xiù
雇	hire	gù
寂	lonesome	jì
骤	sudden/suddenly	zhòu
拆	to tear open/to tear down/to tear apart/to open	chāi
奸	traitor, adultery	jiān
胀	dropsical/swollen/to swell/to be bloated	zhàng
喘	to gasp/to pant/asthma	chuǎn
档	cross-piece/official records/grade (of goods)/file/records/shelves	dàng
妖	goblin/witch/devil/bewitching/enchanting/monster/phantom	yāo
填	to fill in	tián
址	location/site	zhǐ
凌	encroach/soar/thick ice	líng
绘	to draw/to paint	huì
锐	acute	ruì
纽	to turn/to wrench/button	niǔ
粒	a grain/a granule	lì
瞬	to wink	shùn
菌	germ/bacteria, bacteria/mold/mushroom	jūn/jùn
碗	bowl/cup	wǎn
缝	to sew/to stitch, crack/seam	féng/fèng
疆	border/boundary	jiāng
矮	short (not tall)	ǎi
卧	to lie/to crouch	wò
捉	to clutch/to grab/to capture	zhuō
勾	to cancel/to delineate/hook, affair/to reach for (with hand)	gōu/gòu
啥	(dialect) what	shá
涂	to smear/daub, (surname)/to smear/daub/to apply (paint)/to spread	tú
滩	beach/shoal	tān
逆	contrary/opposite/backwards/to go against/to oppose/to betray/to rebel	nì
蜂	bee/wasp	fēng
炼	refine/smelt, refine	liàn
乳	breast/milk	rǔ
裕	abundant	yù
函	envelope/case/letter	hán
糖	sugar/sweets/candy	táng
串	to string together/to mix up/to conspire/to connect/(a measure word)/string	chuàn
丘	Confucius/given name/mound, earthenware, earthenware vessel	qiū
禧	joy	xǐ
扁	flat/tablet/inscription, (surname)/small boat, Polygonum aviculare	biǎn/piān
罩	cover/fish trap (basket)/shade	zhào
璇	(jade)	xuán
廊	porch	láng
陵	mound/tomb/hill/mountain	líng
